task,sample_id,llama70b,qwen0.5b,qwen3b,qwen7b
maths,maths_0160,False,False,False,False
maths,maths_0162,True,False,False,False
maths,maths_0163,True,False,True,True
maths,maths_0167,True,False,True,False
maths,maths_0168,True,False,True,True
maths,maths_0169,True,False,True,False
maths,maths_0173,True,False,True,False
maths,maths_0176,True,False,True,False
maths,maths_0179,False,False,False,False
maths,maths_0180,True,False,True,True
maths,maths_0182,False,False,False,False
maths,maths_0184,False,False,True,True
maths,maths_0185,True,False,True,False
maths,maths_0192,False,False,False,False
maths,maths_0195,True,False,True,False
maths,maths_0198,True,False,True,False
maths,maths_0209,False,False,True,False
maths,maths_0211,True,False,True,False
maths,maths_0213,True,False,True,False
maths,maths_0220,True,False,True,False
maths,maths_0236,True,False,True,True
maths,maths_0238,True,False,False,False
maths,maths_0241,True,False,True,True
maths,maths_0244,False,False,False,False
maths,maths_0245,True,False,False,False
maths,maths_0262,False,False,False,False
maths,maths_0270,True,False,True,True
maths,maths_0271,True,False,True,False
maths,maths_0277,False,False,True,False
maths,maths_0279,False,False,False,False
maths,maths_0283,False,False,True,False
maths,maths_0287,False,False,False,False
maths,maths_0288,True,False,True,False
maths,maths_0290,True,False,True,True
maths,maths_0292,False,False,False,False
maths,maths_0297,False,False,False,False
maths,maths_0298,True,False,False,False
maths,maths_0300,True,False,False,False
maths,maths_0301,False,False,True,False
maths,maths_0304,True,False,True,False
maths,maths_0305,True,False,True,False
maths,maths_0306,True,False,True,False
maths,maths_0307,False,False,True,False
maths,maths_0308,False,False,False,False
maths,maths_0309,False,False,False,False
maths,maths_0311,True,False,True,False
maths,maths_0312,False,False,False,False
maths,maths_0313,True,False,True,False
maths,maths_0314,True,False,True,True
maths,maths_0315,False,False,False,False
maths,maths_0317,True,False,True,False
maths,maths_0319,True,False,True,True
maths,maths_0321,False,False,False,True
maths,maths_0324,True,False,True,True
maths,maths_0325,False,False,False,False
maths,maths_0330,True,False,True,False
maths,maths_0333,True,False,True,False
maths,maths_0336,True,False,False,False
maths,maths_0346,True,False,False,False
maths,maths_0349,True,False,True,False
maths,maths_0357,True,False,True,False
maths,maths_0359,True,False,True,False
maths,maths_0364,False,False,False,False
maths,maths_0368,True,False,False,False
maths,maths_0371,True,False,False,False
maths,maths_0378,True,False,True,False
maths,maths_0380,False,False,False,False
maths,maths_0382,True,False,True,False
maths,maths_0383,True,False,True,False
maths,maths_0387,True,False,True,True
maths,maths_0388,True,False,True,True
maths,maths_0391,True,False,False,False
maths,maths_0392,True,False,True,True
maths,maths_0399,True,False,True,True
maths,maths_0400,True,False,True,False
maths,maths_0403,False,False,False,False
maths,maths_0404,True,False,True,False
maths,maths_0407,True,False,True,False
maths,maths_0412,True,False,False,False
maths,maths_0413,False,False,True,False
maths,maths_0417,False,False,True,False
maths,maths_0431,False,False,False,True
maths,maths_0434,True,False,True,False
maths,maths_0438,True,False,True,False
maths,maths_0445,True,False,True,True
maths,maths_0448,True,False,True,False
maths,maths_0450,True,False,False,False
maths,maths_0452,True,False,True,False
maths,maths_0456,True,False,True,False
maths,maths_0460,True,False,True,True
maths,maths_0468,False,False,False,False
maths,maths_0471,True,False,True,False
maths,maths_0490,True,False,True,False
maths,maths_0493,True,False,True,False
