task,display_name,hash_split_policy,report_split,threshold_split,tau_star_difficulty,split_contract_ok,frozen_policy_check,train_curve_row_count,val_threshold_row_count,report_row_count,leakage_violations,pass_operating_gate,n_rows,coverage_slm,coverage_slm_or_hybrid,selected_capability,selected_risk,utility,precision,precision_ci90_lo,precision_ci90_hi,recall,recall_ci90_lo,recall_ci90_hi,f1,f1_ci90_lo,f1_ci90_hi,accuracy,accuracy_ci90_lo,accuracy_ci90_hi,capability_ece,capability_brier,risk_ece,risk_brier,selected_capability_ci90_lo,selected_capability_ci90_hi,selected_risk_ci90_lo,selected_risk_ci90_hi,utility_ci90_lo,utility_ci90_hi,always_slm_accuracy,always_baseline_accuracy,delta_accuracy_vs_always_slm,delta_accuracy_vs_always_baseline,mcnemar_p_policy_vs_always_slm,mcnemar_p_policy_vs_always_slm_holm,mcnemar_p_policy_vs_always_baseline,mcnemar_p_policy_vs_always_baseline_holm,utility_always_slm,utility_always_baseline,delta_utility_vs_always_slm,delta_utility_vs_always_baseline
information_extraction,qwen2.5:7b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.474749,True,True,69,105,69,,True,69,0.463768115942029,0.463768115942029,0.8125,0.11250000000000002,0.554393115942029,0.8125,0.6923076923076923,0.9166666666666666,0.5416666666666666,0.43474159146841673,0.6666666666666666,0.65,0.5555555555555555,0.7595624656026417,0.5942028985507246,0.5072463768115942,0.7101449275362319,0.11283913043478258,0.22330377028985507,0.06770000000000004,0.08038537405797105,0.6923076923076923,0.9166666666666666,0.05000000000000001,0.18461538461538465,0.4248744221079424,0.7009057971014492,0.6956521739130435,0.30434782608695654,-0.10144927536231885,0.28985507246376807,0.3239398455985341,1.0,0.0007829382178911192,0.021139331883060216,0.9913043478260868,-1.0,-0.4369112318840578,1.554393115942029
information_extraction,groq:llama-3.3-70b-versatile,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.264913,True,True,69,105,69,,True,69,0.057971014492753624,0.057971014492753624,1.0,0.0,0.3079710144927536,1.0,1.0,1.0,0.07692307692307693,0.02,0.13470279720279713,0.14285714285714288,0.0392156862745098,0.2374237288135592,0.30434782608695654,0.21739130434782608,0.391304347826087,0.04472608695652171,0.1827116763768116,0.026830434782608686,0.06577730623188409,1.0,1.0,0.0,0.0,0.2644927536231884,0.35144927536231885,0.7536231884057971,0.2463768115942029,-0.4492753623188406,0.05797101449275363,0.0001984024045859721,0.00476165771006333,0.13361440253771617,1.0,1.0405797101449274,-1.0,-0.7326086956521738,1.3079710144927537
instruction_following,qwen2.5:0.5b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.278665,True,True,117,213,117,,True,117,0.05128205128205128,0.05128205128205128,1.0,0.0,0.30128205128205127,1.0,1.0,1.0,0.10344827586206896,0.04838709677419355,0.1754901960784313,0.1875,0.09230769230769231,0.2985820895522387,0.5555555555555556,0.48717948717948717,0.6243589743589739,0.12459999999999996,0.24572236786324786,0.06288888888888879,0.06772794564102562,1.0,1.0,0.0,0.0,0.27564102564102566,0.3354700854700855,0.49572649572649574,0.5042735042735043,0.05982905982905984,0.05128205128205132,0.5690204003534876,1.0,0.041226833337163676,0.7420830000689462,0.8591880341880342,-1.0,-0.5579059829059829,1.3012820512820513
instruction_following,qwen2.5:3b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.275173,True,True,38,213,38,,True,38,0.3684210526315789,0.3684210526315789,0.9285714285714286,0.03749999999999999,0.5630639097744361,0.9285714285714286,0.8181818181818182,1.0,0.4642857142857143,0.31951724137931037,0.6155677655677654,0.6190476190476191,0.4735294117647058,0.7555555555555554,0.5789473684210527,0.4473684210526316,0.7105263157894737,0.09935789473684209,0.1780883952631579,0.03715526315789476,0.04908740605263155,0.8181818181818182,1.0,0.0,0.09545454545454544,0.43253654970760247,0.7092105263157894,0.7368421052631579,0.2631578947368421,-0.1578947368421052,0.31578947368421056,0.3074341659273953,1.0,0.003283460986069042,0.07551960267958797,1.0460526315789473,-1.0,-0.48298872180451125,1.563063909774436
instruction_following,qwen2.5:7b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.560107,True,True,38,213,38,,True,38,0.4473684210526316,0.4473684210526316,0.7647058823529411,0.12352941176470586,0.515015479876161,0.7647058823529411,0.5882352941176471,0.9230769230769231,0.5,0.33266666666666667,0.652257525083612,0.6046511627906976,0.43243243243243246,0.7346938775510204,0.5526315789473685,0.42105263157894735,0.6842105263157895,0.14219473684210543,0.20939525210526314,0.04001052631578944,0.05771283052631579,0.5882352941176471,0.9230769230769231,0.04038461538461538,0.21617647058823525,0.2940283400809717,0.6919172932330828,0.6842105263157895,0.3157894736842105,-0.13157894736842102,0.23684210526315796,0.38273308888522606,1.0,0.05234506327316321,0.8375210123706114,1.0052631578947369,-1.0,-0.4902476780185758,1.515015479876161
instruction_following,groq:llama-3.3-70b-versatile,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.655923,True,True,153,213,153,,True,153,0.8823529411764706,0.8823529411764706,0.8592592592592593,0.07388888888888889,1.0232788671023965,0.8592592592592593,0.8133626977892493,0.9091224747474747,0.8787878787878788,0.8344012605042017,0.9264705882352942,0.8689138576779026,0.8326536370927021,0.904446650923143,0.7712418300653595,0.7186274509803922,0.8300653594771242,0.04772614379084961,0.11499286307189542,0.025056209150326796,0.03169336117647058,0.8133626977892493,0.9091224747474747,0.047710700757575754,0.09798458366064411,0.9659647950089127,1.083589176612674,0.8627450980392157,0.13725490196078433,-0.09150326797385622,0.6339869281045751,0.002183044737362255,0.05021002895933186,1.4281484668543412e-16,4.427260247248458e-15,1.1436274509803923,-1.0,-0.12034858387799585,2.0232788671023965
maths,qwen2.5:0.5b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,,True,True,135,202,135,,False,135,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.198,0.039203999999999996,0.3256999999999998,0.10608048999999999,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,1.0,1.0,0.0,9.007507307597336e-31,2.8824023384311474e-29,1.0,1.0,0.6400000000000001,-1.0,-1.6400000000000001,0.0
maths,qwen2.5:3b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.32381,True,True,135,202,135,,True,135,0.14074074074074075,0.14074074074074075,0.8421052631578947,0.135,0.21626705653021439,0.8421052631578947,0.7,1.0,0.17777777777777778,0.11956521739130435,0.24731182795698925,0.29357798165137616,0.20560747663551404,0.3866713352007468,0.42962962962962964,0.35555555555555557,0.4966666666666663,0.20042444444444446,0.18215638600000003,0.14920888888888886,0.13316066370370372,0.7,1.0,0.0,0.2565,0.06263888888888891,0.37232689210950076,0.6666666666666666,0.3333333333333333,-0.237037037037037,0.09629629629629632,0.003998529287113742,0.0759720564551611,0.005905391532593253,0.1240132221844583,0.8816666666666668,-1.0,-0.6653996101364524,1.2162670565302145
maths,qwen2.5:7b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.449898,True,True,135,202,135,,False,135,0.15555555555555556,0.15555555555555556,0.23809523809523808,0.6514285714285715,-0.4363492063492064,0.23809523809523808,0.08695652173913043,0.39424242424242395,0.17857142857142858,0.06655913978494624,0.2962962962962963,0.20408163265306123,0.08,0.32562885619364024,0.7111111111111111,0.6518518518518519,0.7707407407407404,0.33313037037037035,0.28647382,0.2848318518518517,0.20942159666666665,0.08695652173913043,0.39424242424242395,0.5179227272727273,0.7806521739130435,-0.5988888888888889,-0.2647516203703706,0.2074074074074074,0.7925925925925926,0.5037037037037038,-0.08148148148148149,3.4935365003914246e-10,1.0131255851135131e-08,0.02909633174125221,0.552830303083792,0.3741851851851852,-1.0,-0.8105343915343916,0.5636507936507936
maths,groq:llama-3.3-70b-versatile,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.38134,True,True,135,202,135,,True,135,0.2222222222222222,0.2222222222222222,1.0,0.0,0.4722222222222222,1.0,1.0,1.0,0.30612244897959184,0.2282339647008179,0.38310062056737576,0.46874999999999994,0.3716457322295176,0.5539733950260265,0.4962962962962963,0.4222222222222222,0.5703703703703704,0.07811037037037022,0.11915792585185185,0.06993703703703703,0.08710850999999999,1.0,1.0,0.0,0.0,0.4203703703703704,0.5314814814814814,0.725925925925926,0.2740740740740741,-0.22962962962962968,0.2222222222222222,0.0034147911781178173,0.06829582356235635,1.1924366854416816e-07,3.4580663877808764e-06,0.9471481481481482,-1.0,-0.474925925925926,1.4722222222222223
retrieval_grounded,qwen2.5:0.5b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.385281,True,True,146,185,146,,True,146,0.07534246575342465,0.07534246575342465,0.7272727272727273,0.18545454545454546,0.07170610211706105,0.7272727272727273,0.5,1.0,0.09876543209876543,0.04996913580246914,0.15802469135802458,0.17391304347826084,0.09185070386155239,0.26673539518900335,0.4794520547945205,0.4174657534246576,0.5547945205479452,0.10727808219178082,0.2528084823287672,0.052633561643835626,0.11690041801369863,0.5,1.0,0.0,0.34,-0.16020547945205482,0.27773972602739694,0.5547945205479452,0.4452054794520548,-0.07534246575342468,0.034246575342465724,0.3894236957350262,1.0,0.22779999398822898,1.0,0.8359589041095891,-1.0,-0.764252801992528,1.071706102117061
retrieval_grounded,qwen2.5:3b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.173261,True,True,51,185,51,,False,51,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37254901960784315,0.27450980392156865,0.49019607843137253,0.047413725490196075,0.21667771745098038,0.03804901960784318,0.10019343313725491,0.0,0.0,1.0,1.0,-1.0,-1.0,0.6274509803921569,0.37254901960784315,-0.2549019607843137,0.0,0.09289194088370532,1.0,1.0,1.0,0.9035294117647057,-1.0,-1.9035294117647057,0.0
retrieval_grounded,qwen2.5:7b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.167185,True,True,146,185,146,,True,146,0.13013698630136986,0.13013698630136986,0.8947368421052632,0.07157894736842106,0.28224224945926457,0.8947368421052632,0.7691025641025642,1.0,0.19767441860465115,0.1308982683982684,0.27374999999999994,0.32380952380952377,0.2247191011235955,0.4190952380952381,0.5136986301369864,0.4520547945205479,0.5753424657534246,0.06448698630136988,0.1935031843150685,0.044436301369863006,0.08947359335616438,0.7691025641025642,1.0,0.0,0.15701025641025632,0.14660469667318984,0.3820926969178081,0.589041095890411,0.410958904109589,-0.07534246575342463,0.10273972602739734,0.37488699045279694,1.0,0.0013189686125793583,0.03287361674283043,0.8678082191780823,-1.0,-0.5855659697188177,1.2822422494592645
retrieval_grounded,groq:llama-3.3-70b-versatile,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.182354,True,True,146,185,146,,True,146,0.15753424657534246,0.15753424657534246,0.9565217391304348,0.02956521739130435,0.36709946396664683,0.9565217391304348,0.875,1.0,0.2268041237113402,0.1588293162813576,0.299020618556701,0.36666666666666664,0.2718117492183643,0.4567396236487388,0.4794520547945205,0.4174657534246576,0.5482876712328764,0.062474657534246435,0.19146740006849317,0.04080684931506851,0.0885344167123288,0.875,1.0,0.0,0.085,0.2699543378995434,0.4486301369863014,0.6643835616438356,0.3356164383561644,-0.18493150684931509,0.14383561643835613,0.019060733071643434,0.3430931952895818,3.0421456547338823e-05,0.000851800783325487,0.937876712328767,-1.0,-0.5707772483621202,1.367099463966647
summarization,qwen2.5:0.5b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.483551,True,True,110,166,110,,False,110,0.4818181818181818,0.4818181818181818,0.39622641509433965,0.13726415094339622,0.4436106346483705,0.39622641509433965,0.2855795148247978,0.5098692810457516,0.65625,0.5198620689655172,0.8,0.49411764705882355,0.3764705882352941,0.6067966512447676,0.6090909090909091,0.5272727272727272,0.6909090909090909,0.38502000000000003,0.356660323090909,0.08654727272727268,0.019857526909090914,0.2855795148247978,0.5098692810457516,0.11076410256410257,0.16167760047281318,0.3529009740259741,0.5357025707898658,0.2909090909090909,0.7090909090909091,0.31818181818181823,-0.09999999999999998,6.6871690133091165e-06,0.00018055356335934614,0.16956414519056337,1.0,0.9099318181818182,-1.0,-0.4663211835334477,1.4436106346483706
summarization,qwen2.5:3b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.528933,True,True,32,166,32,,True,32,0.71875,0.71875,0.8695652173913043,0.03228260869565218,0.9038586956521739,0.8695652173913043,0.7368421052631579,0.9615384615384616,0.7142857142857143,0.5597777777777778,0.8571428571428571,0.7843137254901961,0.6666666666666666,0.8771929824561403,0.65625,0.5,0.78125,0.14306874999999986,0.13150478249999997,0.032490624999999995,0.0078613159375,0.7368421052631579,0.9615384615384616,0.00951923076923077,0.06513157894736843,0.7390131578947369,1.0438935439560435,0.875,0.125,-0.21875,0.53125,0.045500263896358396,0.7735044862380928,0.0008492268308191797,0.02207989760129867,1.1878125,-1.0,-0.283953804347826,1.903858695652174
summarization,qwen2.5:7b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.501434,True,True,32,166,32,,True,32,0.40625,0.40625,0.9230769230769231,0.01903846153846154,0.6179807692307693,0.9230769230769231,0.7777777777777778,1.0,0.46153846153846156,0.30434782608695654,0.640142857142857,0.6153846153846155,0.4444444444444444,0.7619047619047621,0.53125,0.375,0.6875,0.08699375000000006,0.156964303125,0.019756249999999996,0.009535725625000002,0.7777777777777778,1.0,0.0,0.05500000000000001,0.46299999999999997,0.7848611111111111,0.8125,0.1875,-0.28125,0.34375,0.06645742001693117,0.9968613002539675,0.005545667315244055,0.1220046809353692,1.15671875,-1.0,-0.5387379807692307,1.6179807692307693
summarization,groq:llama-3.3-70b-versatile,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.475585,True,True,110,166,110,,True,110,0.2545454545454545,0.2545454545454545,0.8214285714285714,0.044196428571428574,0.4157061688311688,0.8214285714285714,0.7096774193548387,0.95,0.2948717948717949,0.20833333333333334,0.38281101614434937,0.4339622641509434,0.329532967032967,0.5300317066446097,0.45454545454545453,0.38181818181818183,0.5363636363636364,0.024543636363636368,0.2028881665454545,0.0010063636363636386,0.011525106818181818,0.7096774193548387,0.95,0.012375,0.07185483870967742,0.32918622953133814,0.5061439393939394,0.7090909090909091,0.2909090909090909,-0.2545454545454546,0.16363636363636364,0.002866984316802783,0.060206670652858445,0.0013149446697132171,0.03287361674283043,1.109181818181818,-1.0,-0.6934756493506493,1.4157061688311687
text_generation,qwen2.5:0.5b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.372586,True,True,95,128,95,,False,95,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.05263157894736842,0.15789473684210525,0.13688421052631594,0.11294067368421058,0.018343157894736842,0.003345993684210527,0.0,0.0,1.0,1.0,-1.0,-1.0,0.8947368421052632,0.10526315789473684,-0.7894736842105263,0.0,3.144224194307368e-14,9.432672582922105e-13,1.0,1.0,1.204736842105263,-1.0,-2.2047368421052633,0.0
text_generation,qwen2.5:3b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.388152,True,True,22,128,22,,True,22,0.045454545454545456,0.045454545454545456,1.0,0.0,0.29545454545454547,1.0,0.0,1.0,0.05263157894736842,0.0,0.15,0.1,0.0,0.2608695652173913,0.18181818181818182,0.045454545454545456,0.3181818181818182,0.03324545454545447,0.11377517000000002,0.0006772727272727347,0.003686471363636364,0.0,1.0,0.0,1.0,-1.0,0.38636363636363635,0.8636363636363636,0.13636363636363635,-0.6818181818181819,0.04545454545454547,0.0022502265680857912,0.05021002895933186,1.0,1.0,1.1913636363636362,-1.0,-0.8959090909090908,1.2954545454545454
text_generation,qwen2.5:7b,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.655595,True,True,95,128,95,,True,95,0.49473684210526314,0.49473684210526314,1.0,0.0,0.7447368421052631,1.0,1.0,1.0,0.5053763440860215,0.4175824175824176,0.5851988899167437,0.6714285714285714,0.5891472868217055,0.7383285832490575,0.5157894736842106,0.43157894736842106,0.6,0.017777894736842437,0.021243996526315798,0.0031978947368421044,0.0006884105263157896,1.0,1.0,0.0,0.0,0.6605263157894736,0.8289473684210527,0.9789473684210527,0.021052631578947368,-0.4631578947368421,0.4947368421052632,5.417231673911746e-10,1.516824868695289e-08,1.949052256116927e-11,5.84715676835078e-10,1.2409473684210526,-1.0,-0.49621052631578944,1.7447368421052631
text_generation,groq:llama-3.3-70b-versatile,"sha1(sample_id)%100: train<30, val<70, test>=70",train,val,0.0,True,True,95,128,95,,True,95,1.0,1.0,1.0,0.0,1.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.25,1.25,1.0,0.0,0.0,1.0,1.0,1.0,5.201694611862449e-22,1.6645422757959836e-20,1.25,-1.0,0.0,2.25
